Прізвище,Ім'я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Абрагамовський,Дан,Васильович,male,1988-03-22,Аудитор,місто Дружківка,"узвіз Могилівська, буд. 69 кв. 5, Вараш, 34412",466 55 41,romanchuksemen@example.com
Шутько,Гаврило,Зеновійович,male,1954-12-13,Менеджер з продукту,село Добропілля,"площа Український 1-й, буд. 71, Бібрка, 68871",+380 23 149 09 54,mazepapylyp@example.org
Удовиченко,Лукʼян,Павлович,male,1953-11-17,HR-менеджер,селище Красилів,"узвіз Лінія 49-та, буд. 789, Бахмут, 20152",+380 29 999-70-06,varvara25@example.org
Шелест,Вʼячеслав,Федорович,male,1939-12-11,Менеджер з закупівель,місто Ічня,"набережна Аеродромний 3-й, буд. 582 кв. 8, Українка , 16466",013 287-68-92,qizhakevych@example.org
Зарудний,Михайлина,Ярославівна,female,1938-04-15,HR-менеджер,місто Дергачі,"площа Станційна 3-тя, буд. 25, Обухів, 95598",+380 30 182 76 27,pavlovyshyvanyi@example.org
Євтушенко,Валентин,Борисович,male,1955-04-09,Менеджер з маркетингу,хутір Дубно,"проспект Сумська, буд. 888 кв. 6, Сімферополь, 08451",884 90 69,skybadaryna@example.net
Ткаченко,Михайлина,Станіславівна,female,1956-01-03,Копірайтер,село Ромни,"парк Савранська, буд. 858, Перечин, 83497",+380 (76) 725-62-68,iaroslavamasliak@example.com
Величко,Вікторія,Захарівна,female,1970-03-16,PR-менеджер,місто Вижниця,"площа Бузковий, буд. 336, Залізне, 43287",151 34 56,bohdannazhurba@example.net
Петрик,Омелян,Тарасович,male,1975-10-27,Тестувальник,село Обухів,"узвіз 1-й Академічний тупик, буд. 9 кв. 24, Борзна, 49086",+380 10 209 80 13,skorobohatkovioletta@example.org
Євдокименко,Володимир,Романович,male,1938-10-31,Менеджер з маркетингу,село Ананьїв,"парк Удільний, буд. 857 кв. 6, Балаклія, 89877",835 42 40,hresmykhailyna@example.org
Сірко,Аліна,Олексіївна,female,1966-04-03,Дизайнер,хутір Кипуче,"узвіз Глазунова 2-й, буд. 341 кв. 9, Полтава, 81690",232-00-35,miroshnychenkotereza@example.org
Сагаль,Ярема,Григорійович,male,1957-03-19,PR-менеджер,село Святогірськ,"сквер Торгова, буд. 485 кв. 2, Кодима, 32385",+380 23 325-26-45,adamdankiv@example.net
Деряжний,Варвара,Павлівна,female,1958-07-09,Дизайнер,місто Кременець,"сквер Курганська, буд. 9 кв. 032, Моршин, 86087",+380 20 120-24-52,atamaniukvolodymyr@example.net
Бебешко,Давид,Денисович,male,1938-01-20,Менеджер з закупівель,місто Торецьк,"набережна Лінія 43-тя, буд. 424 кв. 142, Дніпро , 70761",+380 70 849-28-11,telizhenkobohdanna@example.org
Батуринець,Євген,Борисович,male,1958-10-17,Менеджер з закупівель,село Свалява,"проспект Лазурний 2-й, буд. 061 кв. 91, Шепетівка, 26769",+380 53 770-03-00,lukian32@example.org
Карпенко,Богодар,Ігорович,male,1990-09-11,Системний адміністратор,селище Тетіїв,"площа Марії Демченко, буд. 0, Алчевськ, 44159",168-33-40,romanchukrozaliia@example.com
Тесля,Аврелій,Михайлович,male,1965-10-26,Менеджер з закупівель,місто Кам'янське,"парк Амбулаторний 2-й, буд. 09 кв. 45, Комарно, 06037",780 81 70,milena94@example.org
Єщенко,Ольга,Сергіївна,female,1978-06-26,Системний адміністратор,селище Любомль,"вулиця Лузанівська, буд. 2 кв. 14, Кам'янка-Дніпровська, 96974",616-16-24,les87@example.com
Свистун,Болеслав,Сергійович,male,1954-04-11,HR-менеджер,хутір Одеса,"вулиця Івасюка Володимира, буд. 36 кв. 9, Берегове, 03220",+380 99 847-99-44,semenpavlychenko@example.org
Бабенко,Альбіна,Зеновіївна,female,2005-09-14,Тестувальник,місто Тульчин,"узвіз Тепла, буд. 18 кв. 094, Тлумач, 01650",003 060 16 16,kalenychenkoalla@example.net
Назаренко,Пилип,Юрійович,male,1946-06-08,Бухгалтер,місто Дубровиця,"сквер Тепличний 1-й, буд. 9 кв. 0, Сквира, 48279",+380 76 091-96-51,btsisyk@example.com
Юрчишин,Лукʼян,Леонідович,male,2001-06-17,HR-менеджер,село Апостолове,"парк Парашутний, буд. 55, Жашків, 61828",+380 59 703-39-36,ihorkashchenko@example.com
Дубас,Оксана,Олексіївна,female,1946-08-05,Менеджер з продажу,селище Сквира,"площа Світанку, буд. 94 кв. 78, Звенигородка, 87028",+380 19 161 32 95,veresborys@example.com
Цушко,Анастасія,Борисівна,female,1968-09-14,Системний адміністратор,місто Костопіль,"парк Дігтярна, буд. 3, Моршин, 48993",+380 75 878-90-69,markoverhun@example.net
Цимбалюк,Євген,Тимофійович,male,1952-02-13,Офіс-менеджер,село Путивль,"сквер Красива, буд. 2, Вижниця, 31810",+380 39 095 91 04,volodymyr04@example.com
Асаула,Алевтин,Давидович,male,1964-10-19,Бухгалтер,хутір Борщів,"шосе Гаршина, буд. 75, Носівка, 41841",+380 08 906 17 01,viacheslav92@example.org
Товстуха,Охрім,Кирилович,male,1957-08-11,Інженер з якості,селище Святогірськ,"проспект Пересипська 6-та, буд. 60 кв. 8, Берислав, 85006",+380 (52) 741-84-04,nbazylevskyi@example.org
Атаманчук,Вадим,Тарасович,male,1983-03-27,Асистент керівника,селище Чортків,"площа Тролейбусна, буд. 6 кв. 862, Південне , 34152",+380 40 515-56-45,ovsiienkovarfolomii@example.net
Царенко,Юстим,Станіславович,male,1984-01-03,Аналітик даних,місто Снятин,"проспект Софіївська, буд. 3, Сокиряни, 87307",008 391 55 02,wtymchuk@example.org
Рудик,Юстина,Андріївна,female,1944-12-28,Програміст,місто Володимир-Волинський,"проспект Соціальна, буд. 87, Родинське, 02825",328 38 08,solomiia73@example.com
Баранець,Віра,Максимівна,female,1984-10-25,Менеджер з закупівель,хутір Дружківка,"набережна 10-та Суворовська, буд. 14, Бровари, 66862",+380 (73) 699-92-43,orynazaiets@example.net
Червоненко,Едита,Володимирівна,female,1952-04-07,Менеджер з закупівель,хутір Радивилів,"шосе Водопровідний 1-й, буд. 52 кв. 7, Остер , 88063",+380 (87) 830-20-17,tarasbezborodky@example.com
Назаренко,Еріка,Назарівна,female,1988-05-14,HR-менеджер,село Старий Крим,"узвіз Каштанова, буд. 68 кв. 8, Харцизьк, 47377",+380 66 821-87-59,dashkevychavhustyn@example.net
Онищенко,Ігор,Олексійович,male,2000-04-07,Менеджер з продажу,селище Лебедин,"площа Високий, буд. 39, Херсон, 73902",220 52 98,bavramenko@example.net
Абрамчук,Альбіна,Павлівна,female,1942-05-06,Менеджер з продукту,село Красноперекопськ,"набережна Олександра Невського 5-й, буд. 054 кв. 84, Шахтарськ, 81022",009 486 36 84,kostiantyn74@example.com
